Protein,community_DC,community_CC,community_BC,community_EC,community_PageRank
YPR102C,0.6491228070175439,1.1559349475617418,0.0012597710412775096,0.22416742494765057,0.06681396021746308
YPR159W,0.7294926505452821,1.092797494500778,0.0038728062229608767,0.13283010571345968,0.01729138258681924
YOL023W,0.46616541353383456,1.0875578368999421,0.0008839408410786161,0.262813847691086,0.04075730985878935
YOL130W,0.3082706766917293,0.7908174165251839,0.0002959642595579767,0.09175000224270499,0.04363981045912576
YPL257W-A,0.46616541353383456,0.9008911702332755,0.001095561710722298,0.1522036414454649,0.035077571593838744
YPR086W,0.881578947368421,1.2507855367732095,0.003912134689666232,0.2588070655922316,0.03837301978105392
YPR115W,0.45964912280701753,0.9523662581555855,0.0005476947157027815,0.16931440376122892,0.050631672437868355
YPR137C-A,0.5558213716108453,1.1077712240371043,0.13140108202285672,0.34182799963415844,0.04248910429690024
YPR139C,0.46616541353383456,1.0875578368999421,0.0008839408410786161,0.262813847691086,0.04075730985878935
YPR158C-C,0.6506791171477079,1.104774790484672,0.0036888845895365068,0.1544298116700667,0.018383682015175352
YPR158W-A,0.46616541353383456,1.0875578368999421,0.0008839408410786161,0.262813847691086,0.04075730985878935
YLR120C,0.7327485380116959,1.1619186576502665,0.004598321753985949,0.11809183748698435,0.012829672853253829
YLR126C,0.7327485380116959,1.1619186576502665,0.004598321753985949,0.11809183748698435,0.012829672853253829
YOL102C,0.5909090909090909,1.1230521155830753,0.001906408700324564,0.213418178829939,0.03973687422323299
YOL163W,0.6979949874686716,1.1003194423373048,0.003958385901025471,0.11105447570861354,0.016468119836380683
YOR167C,0.7771929824561403,1.215164093755743,0.004598321753985949,0.16032597784812208,0.018270946242251358
YPR184W,0.7771929824561403,1.1868316598647555,0.005737491226488755,0.14870142628443603,0.018086374379257544
YLL041C,0.3544891640866873,0.8392045132993774,0.00027327626863055143,0.2940615118574439,0.05187396081311869
YLR038C,0.6047634910059959,1.0418110322829017,0.002908309725613928,0.10775646219854365,0.00854920669205271
YMR145C,0.36201079622132254,0.987238138727281,0.0007309038447356202,0.26687873815312324,0.04280622081923183
YOR271C,0.6047634910059959,1.0418110322829017,0.002908309725613928,0.10775646219854365,0.00854920669205271
YPL063W,0.7313457694870086,1.1332088817452672,0.03500584655667525,0.2995658274316469,0.026633729978645444
YPR191W,0.6680546302465022,1.0846681751400444,0.012461960661932827,0.17528741255300473,0.0193278798236695
YBL112C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YBL113C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YCL068C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDL046W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDL211C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDL231C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDR403W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDR438W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDR492W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDR522C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDR534C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YDR542W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YEL007W,0.8412280701754385,1.3193136349646046,0.006185136976022746,0.3007872709612779,0.05803277453411864
YEL075C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YEL076C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
